"id";"nome";"descricao";"data_inicio";"data_fim";"status"
"27";"Rogahn LLC";"The automobile layout consists of a front-engine design, with transaxle-type transmissions mounted at the rear of the engine and four wheel drive";"2024-09-07";"2024-08-10";"Pendente"
"28";"Swift Group";"Ergonomic executive chair upholstered in bonded black leather and PVC padded seat and back for all-day comfort and support";"2024-01-07";"2024-05-18";"Pendente"
"29";"Adams, Zemlak and Witting";"The Nagasaki Lander is the trademarked name of several series of Nagasaki sport bikes, that started with the 1984 ABC800J";"2024-07-05";"2024-07-07";"Concluido"
"30";"Yost - Nader";"The slim & simple Maple Gaming Keyboard from Dev Byte comes with a sleek body and 7- Color RGB LED Back-lighting for smart functionality";"2024-05-02";"2024-03-06";"Concluido"
"31";"Schroeder, Boyle and Miller";"New ABC 13 9370, 13.3, 5th Gen CoreA5-8250U, 8GB RAM, 256GB SSD, power UHD Graphics, OS 10 Home, OS Office A & J 2016";"2024-03-17";"2024-08-18";"Concluido"
"32";"Goodwin, Pagac and Hermann";"Boston's most advanced compression wear technology increases muscle oxygenation, stabilizes active muscles";"2024-08-14";"2024-09-09";"Pendente"
"33";"Bode, Weber and Douglas";"New range of formal shirts are designed keeping you in mind. With fits and styling that will make you stand apart";"2024-06-27";"2024-04-27";"Pendente"
"34";"Thiel - Koelpin";"Boston's most advanced compression wear technology increases muscle oxygenation, stabilizes active muscles";"2024-02-05";"2024-05-28";"Concluido"
"35";"Predovic and Sons";"The Nagasaki Lander is the trademarked name of several series of Nagasaki sport bikes, that started with the 1984 ABC800J";"2024-02-04";"2024-04-12";"Concluido"
"36";"Schmitt - Sauer";"The Nagasaki Lander is the trademarked name of several series of Nagasaki sport bikes, that started with the 1984 ABC800J";"2024-08-12";"2024-03-12";"Concluido"
"37";"Simonis - Frami";"Carbonite web goalkeeper gloves are ergonomically designed to give easy fit";"2024-05-17";"2024-04-06";"Em andamento"
"38";"Heidenreich, Gerhold and Batz";"The Apollotech B340 is an affordable wireless mouse with reliable connectivity, 12 months battery life and modern design";"2024-08-01";"2024-05-14";"Em andamento"
"39";"Ferry Inc";"The automobile layout consists of a front-engine design, with transaxle-type transmissions mounted at the rear of the engine and four wheel drive";"2024-03-21";"2024-08-25";"Concluido"
"40";"Waters - Purdy";"The slim & simple Maple Gaming Keyboard from Dev Byte comes with a sleek body and 7- Color RGB LED Back-lighting for smart functionality";"2024-05-13";"2024-03-04";"Em andamento"
"41";"Glover - West";"New ABC 13 9370, 13.3, 5th Gen CoreA5-8250U, 8GB RAM, 256GB SSD, power UHD Graphics, OS 10 Home, OS Office A & J 2016";"2024-03-10";"2024-04-09";"Pendente"
"42";"Grimes - Pfeffer";"New ABC 13 9370, 13.3, 5th Gen CoreA5-8250U, 8GB RAM, 256GB SSD, power UHD Graphics, OS 10 Home, OS Office A & J 2016";"2024-05-09";"2024-09-05";"Em andamento"
"43";"Stehr Group";"New ABC 13 9370, 13.3, 5th Gen CoreA5-8250U, 8GB RAM, 256GB SSD, power UHD Graphics, OS 10 Home, OS Office A & J 2016";"2024-03-03";"2024-03-29";"Concluido"
"44";"Rowe - Toy";"The beautiful range of Apple Naturalé that has an exciting mix of natural ingredients. With the Goodness of 100% Natural Ingredients";"2024-06-23";"2024-02-02";"Concluido"
"45";"Fadel, Jenkins and Greenholt";"The Football Is Good For Training And Recreational Purposes";"2024-08-09";"2024-05-11";"Concluido"
"46";"Bode LLC";"New ABC 13 9370, 13.3, 5th Gen CoreA5-8250U, 8GB RAM, 256GB SSD, power UHD Graphics, OS 10 Home, OS Office A & J 2016";"2024-04-05";"2024-01-15";"Concluido"
"47";"Padberg - Schmeler";"The slim & simple Maple Gaming Keyboard from Dev Byte comes with a sleek body and 7- Color RGB LED Back-lighting for smart functionality";"2024-02-29";"2024-05-31";"Pendente"
"48";"Jacobs, Spencer and Greenfelder";"Boston's most advanced compression wear technology increases muscle oxygenation, stabilizes active muscles";"2024-06-28";"2024-03-03";"Concluido"
"49";"Gislason, Baumbach and Wisozk";"Andy shoes are designed to keeping in mind durability as well as trends, the most stylish range of shoes & sandals";"2024-06-16";"2024-02-17";"Concluido"
"50";"Hilll - Hessel";"The Nagasaki Lander is the trademarked name of several series of Nagasaki sport bikes, that started with the 1984 ABC800J";"2024-02-11";"2024-06-01";"Concluido"
"51";"Armstrong Inc";"Ergonomic executive chair upholstered in bonded black leather and PVC padded seat and back for all-day comfort and support";"2024-05-12";"2024-06-19";"Concluido"
"52";"Shanahan, Cassin and Kassulke";"The slim & simple Maple Gaming Keyboard from Dev Byte comes with a sleek body and 7- Color RGB LED Back-lighting for smart functionality";"2024-06-28";"2024-03-07";"Concluido"
"53";"Jacobi, Collins and Orn";"Carbonite web goalkeeper gloves are ergonomically designed to give easy fit";"2024-03-28";"2024-07-19";"Concluido"
"54";"Jenkins, Harvey and Harris";"Ergonomic executive chair upholstered in bonded black leather and PVC padded seat and back for all-day comfort and support";"2024-07-11";"2024-06-01";"Concluido"
"55";"Lubowitz - Rogahn";"The Apollotech B340 is an affordable wireless mouse with reliable connectivity, 12 months battery life and modern design";"2024-02-02";"2024-07-11";"Em andamento"
"56";"Hessel and Sons";"New ABC 13 9370, 13.3, 5th Gen CoreA5-8250U, 8GB RAM, 256GB SSD, power UHD Graphics, OS 10 Home, OS Office A & J 2016";"2024-03-21";"2024-07-23";"Concluido"
"57";"Dare Inc";"The slim & simple Maple Gaming Keyboard from Dev Byte comes with a sleek body and 7- Color RGB LED Back-lighting for smart functionality";"2024-08-03";"2024-05-21";"Concluido"
"58";"Renner Inc";"Ergonomic executive chair upholstered in bonded black leather and PVC padded seat and back for all-day comfort and support";"2024-06-19";"2024-05-08";"Concluido"
"59";"Donnelly - Ruecker";"Boston's most advanced compression wear technology increases muscle oxygenation, stabilizes active muscles";"2024-01-03";"2024-06-15";"Em andamento"
"60";"Huels - Jacobi";"The beautiful range of Apple Naturalé that has an exciting mix of natural ingredients. With the Goodness of 100% Natural Ingredients";"2024-03-05";"2024-05-06";"Em andamento"
"61";"Rempel, Stroman and Adams";"Carbonite web goalkeeper gloves are ergonomically designed to give easy fit";"2024-03-06";"2024-09-04";"Pendente"
"62";"Schiller - Johns";"Ergonomic executive chair upholstered in bonded black leather and PVC padded seat and back for all-day comfort and support";"2024-02-21";"2024-08-06";"Em andamento"
"63";"Luettgen - Ondricka";"The Apollotech B340 is an affordable wireless mouse with reliable connectivity, 12 months battery life and modern design";"2024-04-19";"2024-08-05";"Concluido"
"64";"Turcotte - Emard";"New ABC 13 9370, 13.3, 5th Gen CoreA5-8250U, 8GB RAM, 256GB SSD, power UHD Graphics, OS 10 Home, OS Office A & J 2016";"2024-06-26";"2024-01-14";"Concluido"
"65";"Luettgen Inc";"New ABC 13 9370, 13.3, 5th Gen CoreA5-8250U, 8GB RAM, 256GB SSD, power UHD Graphics, OS 10 Home, OS Office A & J 2016";"2024-01-01";"2024-07-12";"Concluido"
"66";"Hilpert - Dooley";"The Apollotech B340 is an affordable wireless mouse with reliable connectivity, 12 months battery life and modern design";"2024-08-27";"2024-07-29";"Concluido"
"67";"Steuber - Leuschke";"The beautiful range of Apple Naturalé that has an exciting mix of natural ingredients. With the Goodness of 100% Natural Ingredients";"2024-01-23";"2024-07-27";"Pendente"
"68";"Schinner - Gorczany";"Ergonomic executive chair upholstered in bonded black leather and PVC padded seat and back for all-day comfort and support";"2024-06-22";"2024-07-14";"Em andamento"
"69";"Baumbach, Herman and Greenholt";"The Football Is Good For Training And Recreational Purposes";"2024-01-06";"2024-05-15";"Concluido"
"70";"Roberts - Bergnaum";"The Football Is Good For Training And Recreational Purposes";"2024-04-10";"2024-07-12";"Pendente"
"71";"Treutel, Lakin and Rau";"The slim & simple Maple Gaming Keyboard from Dev Byte comes with a sleek body and 7- Color RGB LED Back-lighting for smart functionality";"2024-08-23";"2024-02-25";"Concluido"
"72";"Farrell, Blanda and Will";"The Football Is Good For Training And Recreational Purposes";"2024-07-21";"2024-08-03";"Concluido"
"73";"Nolan - Kris";"The beautiful range of Apple Naturalé that has an exciting mix of natural ingredients. With the Goodness of 100% Natural Ingredients";"2024-06-15";"2024-07-15";"Em andamento"
"74";"Howell Group";"Ergonomic executive chair upholstered in bonded black leather and PVC padded seat and back for all-day comfort and support";"2024-03-23";"2024-05-25";"Concluido"
"75";"Ledner, Mayer and Rodriguez";"Andy shoes are designed to keeping in mind durability as well as trends, the most stylish range of shoes & sandals";"2024-03-02";"2024-06-18";"Pendente"
"76";"Runolfsson - Lemke";"The slim & simple Maple Gaming Keyboard from Dev Byte comes with a sleek body and 7- Color RGB LED Back-lighting for smart functionality";"2024-03-28";"2024-02-01";"Em andamento"
"77";"Bergnaum, Kling and Macejkovic";"The slim & simple Maple Gaming Keyboard from Dev Byte comes with a sleek body and 7- Color RGB LED Back-lighting for smart functionality";"2024-01-13";"2024-04-30";"Pendente"
"78";"Ledner, Pacocha and Cole";"The slim & simple Maple Gaming Keyboard from Dev Byte comes with a sleek body and 7- Color RGB LED Back-lighting for smart functionality";"2024-07-30";"2024-06-04";"Pendente"
"79";"Anderson, Wolf and Olson";"The slim & simple Maple Gaming Keyboard from Dev Byte comes with a sleek body and 7- Color RGB LED Back-lighting for smart functionality";"2024-01-05";"2024-04-29";"Em andamento"
"80";"Collier - Jacobs";"The Football Is Good For Training And Recreational Purposes";"2024-04-05";"2024-07-01";"Pendente"
"81";"Lang - Swift";"The Football Is Good For Training And Recreational Purposes";"2024-03-06";"2024-08-03";"Em andamento"
"82";"Bergstrom Group";"Carbonite web goalkeeper gloves are ergonomically designed to give easy fit";"2024-08-14";"2024-05-30";"Concluido"
"83";"Olson - Lakin";"The Football Is Good For Training And Recreational Purposes";"2024-05-05";"2024-06-25";"Em andamento"
"84";"Feest - Dooley";"The automobile layout consists of a front-engine design, with transaxle-type transmissions mounted at the rear of the engine and four wheel drive";"2024-01-16";"2024-01-02";"Pendente"
"85";"Jacobi and Sons";"The beautiful range of Apple Naturalé that has an exciting mix of natural ingredients. With the Goodness of 100% Natural Ingredients";"2024-02-15";"2024-08-14";"Pendente"
"86";"Pouros - Hegmann";"Andy shoes are designed to keeping in mind durability as well as trends, the most stylish range of shoes & sandals";"2024-06-18";"2024-03-03";"Em andamento"
"87";"Luettgen, Conn and Heidenreich";"New range of formal shirts are designed keeping you in mind. With fits and styling that will make you stand apart";"2024-02-19";"2024-06-18";"Concluido"
"88";"Botsford Inc";"Boston's most advanced compression wear technology increases muscle oxygenation, stabilizes active muscles";"2024-05-25";"2024-05-07";"Concluido"
"89";"Sauer - Stehr";"Andy shoes are designed to keeping in mind durability as well as trends, the most stylish range of shoes & sandals";"2024-01-19";"2024-02-09";"Em andamento"
"90";"O'Keefe, Waters and Stokes";"New ABC 13 9370, 13.3, 5th Gen CoreA5-8250U, 8GB RAM, 256GB SSD, power UHD Graphics, OS 10 Home, OS Office A & J 2016";"2024-01-12";"2024-03-30";"Pendente"
"91";"Larson Group";"The automobile layout consists of a front-engine design, with transaxle-type transmissions mounted at the rear of the engine and four wheel drive";"2024-04-28";"2024-06-06";"Pendente"
"92";"Upton - Jacobson";"Boston's most advanced compression wear technology increases muscle oxygenation, stabilizes active muscles";"2024-07-18";"2024-07-20";"Em andamento"
"93";"Sanford LLC";"The automobile layout consists of a front-engine design, with transaxle-type transmissions mounted at the rear of the engine and four wheel drive";"2024-04-21";"2024-07-04";"Em andamento"
"94";"Dach, Kris and Frami";"Carbonite web goalkeeper gloves are ergonomically designed to give easy fit";"2024-01-11";"2024-03-21";"Concluido"
"95";"Reichert, Homenick and Dare";"Ergonomic executive chair upholstered in bonded black leather and PVC padded seat and back for all-day comfort and support";"2024-08-11";"2024-04-01";"Concluido"
"96";"Kemmer LLC";"The slim & simple Maple Gaming Keyboard from Dev Byte comes with a sleek body and 7- Color RGB LED Back-lighting for smart functionality";"2024-03-18";"2024-04-22";"Pendente"
"97";"Barton and Sons";"Andy shoes are designed to keeping in mind durability as well as trends, the most stylish range of shoes & sandals";"2024-04-22";"2024-04-18";"Concluido"
"98";"Runte, Sanford and Satterfield";"The Apollotech B340 is an affordable wireless mouse with reliable connectivity, 12 months battery life and modern design";"2024-05-17";"2024-08-05";"Concluido"
"99";"Smitham - Johns";"The slim & simple Maple Gaming Keyboard from Dev Byte comes with a sleek body and 7- Color RGB LED Back-lighting for smart functionality";"2024-02-28";"2024-01-26";"Em andamento"
"100";"Kozey Group";"New range of formal shirts are designed keeping you in mind. With fits and styling that will make you stand apart";"2024-03-23";"2024-07-28";"Em andamento"
"101";"Murray - Funk";"The beautiful range of Apple Naturalé that has an exciting mix of natural ingredients. With the Goodness of 100% Natural Ingredients";"2024-06-28";"2024-07-07";"Pendente"
"102";"Ledner and Sons";"The Football Is Good For Training And Recreational Purposes";"2024-05-17";"2024-03-16";"Concluido"
"103";"Champlin, Keebler and Treutel";"New range of formal shirts are designed keeping you in mind. With fits and styling that will make you stand apart";"2024-08-04";"2024-03-07";"Pendente"
"104";"Lueilwitz, Hauck and Rosenbaum";"New ABC 13 9370, 13.3, 5th Gen CoreA5-8250U, 8GB RAM, 256GB SSD, power UHD Graphics, OS 10 Home, OS Office A & J 2016";"2024-05-10";"2024-03-01";"Em andamento"
"105";"Johnston LLC";"Carbonite web goalkeeper gloves are ergonomically designed to give easy fit";"2024-02-27";"2024-01-07";"Concluido"
"106";"DuBuque, Krajcik and Walter";"New range of formal shirts are designed keeping you in mind. With fits and styling that will make you stand apart";"2024-01-15";"2024-07-19";"Pendente"
"107";"Haley, Tillman and Ankunding";"Ergonomic executive chair upholstered in bonded black leather and PVC padded seat and back for all-day comfort and support";"2024-05-24";"2024-07-23";"Concluido"
"108";"Mante, Russel and Stracke";"The Apollotech B340 is an affordable wireless mouse with reliable connectivity, 12 months battery life and modern design";"2024-05-22";"2024-02-01";"Concluido"
"109";"Quigley Inc";"Andy shoes are designed to keeping in mind durability as well as trends, the most stylish range of shoes & sandals";"2024-06-27";"2024-05-03";"Em andamento"
"110";"Gibson - Homenick";"New range of formal shirts are designed keeping you in mind. With fits and styling that will make you stand apart";"2024-04-13";"2024-07-22";"Pendente"
"111";"Lesch Group";"Andy shoes are designed to keeping in mind durability as well as trends, the most stylish range of shoes & sandals";"2024-08-07";"2024-01-16";"Pendente"
"112";"Jerde - Jacobi";"Boston's most advanced compression wear technology increases muscle oxygenation, stabilizes active muscles";"2024-08-03";"2024-01-13";"Concluido"
"113";"O'Conner - Johns";"Boston's most advanced compression wear technology increases muscle oxygenation, stabilizes active muscles";"2024-06-15";"2024-06-08";"Concluido"
"114";"Toy - Adams";"Carbonite web goalkeeper gloves are ergonomically designed to give easy fit";"2024-06-28";"2024-04-22";"Em andamento"
"115";"McLaughlin - Thiel";"Boston's most advanced compression wear technology increases muscle oxygenation, stabilizes active muscles";"2024-05-21";"2024-06-10";"Em andamento"
"116";"Muller, Herman and Blick";"The slim & simple Maple Gaming Keyboard from Dev Byte comes with a sleek body and 7- Color RGB LED Back-lighting for smart functionality";"2024-01-28";"2024-08-02";"Em andamento"
"117";"Altenwerth, Schoen and Pfeffer";"New range of formal shirts are designed keeping you in mind. With fits and styling that will make you stand apart";"2024-07-02";"2024-04-17";"Concluido"
"118";"Lesch - Trantow";"New range of formal shirts are designed keeping you in mind. With fits and styling that will make you stand apart";"2023-12-31";"2024-04-15";"Concluido"
"119";"Collier, McGlynn and Baumbach";"The automobile layout consists of a front-engine design, with transaxle-type transmissions mounted at the rear of the engine and four wheel drive";"2024-03-03";"2024-05-08";"Concluido"
"120";"Welch, Bechtelar and Fisher";"New range of formal shirts are designed keeping you in mind. With fits and styling that will make you stand apart";"2024-05-25";"2024-04-01";"Concluido"
"121";"Howe, Kiehn and Kling";"The beautiful range of Apple Naturalé that has an exciting mix of natural ingredients. With the Goodness of 100% Natural Ingredients";"2024-06-16";"2024-05-31";"Em andamento"
"122";"Oberbrunner LLC";"The beautiful range of Apple Naturalé that has an exciting mix of natural ingredients. With the Goodness of 100% Natural Ingredients";"2024-07-30";"2024-04-17";"Pendente"
"123";"Abbott, Rempel and Pfeffer";"The automobile layout consists of a front-engine design, with transaxle-type transmissions mounted at the rear of the engine and four wheel drive";"2024-04-22";"2024-03-10";"Pendente"
"124";"Bosco, Cruickshank and Reilly";"Boston's most advanced compression wear technology increases muscle oxygenation, stabilizes active muscles";"2024-06-22";"2024-06-28";"Em andamento"
"125";"Pacocha, Ratke and Upton";"Carbonite web goalkeeper gloves are ergonomically designed to give easy fit";"2024-03-05";"2024-06-27";"Em andamento"
"126";"Emmerich, Kozey and Runte";"New ABC 13 9370, 13.3, 5th Gen CoreA5-8250U, 8GB RAM, 256GB SSD, power UHD Graphics, OS 10 Home, OS Office A & J 2016";"2024-08-25";"2024-04-11";"Concluido"
"127";"Kulas and Sons";"The beautiful range of Apple Naturalé that has an exciting mix of natural ingredients. With the Goodness of 100% Natural Ingredients";"2024-05-02";"2024-02-17";"Em andamento"
"128";"Brown LLC";"The automobile layout consists of a front-engine design, with transaxle-type transmissions mounted at the rear of the engine and four wheel drive";"2024-05-06";"2024-04-29";"Concluido"
"129";"Vandervort Inc";"The automobile layout consists of a front-engine design, with transaxle-type transmissions mounted at the rear of the engine and four wheel drive";"2024-07-21";"2024-01-04";"Em andamento"
"130";"Frami, Rodriguez and Huel";"Andy shoes are designed to keeping in mind durability as well as trends, the most stylish range of shoes & sandals";"2024-08-30";"2024-07-01";"Em andamento"
"131";"Wolff, Hoppe and Pollich";"The Football Is Good For Training And Recreational Purposes";"2024-05-11";"2024-04-19";"Pendente"
"132";"Corkery Inc";"Boston's most advanced compression wear technology increases muscle oxygenation, stabilizes active muscles";"2024-01-06";"2024-08-11";"Em andamento"
"133";"Cummerata Inc";"The Apollotech B340 is an affordable wireless mouse with reliable connectivity, 12 months battery life and modern design";"2024-04-29";"2024-06-20";"Pendente"
"134";"Harris, Lebsack and Hermann";"The automobile layout consists of a front-engine design, with transaxle-type transmissions mounted at the rear of the engine and four wheel drive";"2024-02-19";"2024-09-03";"Concluido"
"135";"Rippin and Sons";"The slim & simple Maple Gaming Keyboard from Dev Byte comes with a sleek body and 7- Color RGB LED Back-lighting for smart functionality";"2024-07-21";"2024-01-05";"Pendente"
"136";"Weimann, Breitenberg and Robel";"The Football Is Good For Training And Recreational Purposes";"2024-08-15";"2024-06-29";"Em andamento"
"137";"MacGyver - Mosciski";"Andy shoes are designed to keeping in mind durability as well as trends, the most stylish range of shoes & sandals";"2024-05-20";"2024-08-21";"Em andamento"
"138";"Cartwright - Hackett";"The Football Is Good For Training And Recreational Purposes";"2024-09-03";"2024-06-02";"Pendente"
"139";"Hegmann, Schuster and Rosenbaum";"The slim & simple Maple Gaming Keyboard from Dev Byte comes with a sleek body and 7- Color RGB LED Back-lighting for smart functionality";"2024-04-13";"2024-02-04";"Pendente"
"140";"Kshlerin LLC";"The automobile layout consists of a front-engine design, with transaxle-type transmissions mounted at the rear of the engine and four wheel drive";"2024-03-19";"2024-08-23";"Em andamento"
"141";"Schmeler Inc";"Andy shoes are designed to keeping in mind durability as well as trends, the most stylish range of shoes & sandals";"2024-06-17";"2024-04-07";"Em andamento"
"142";"Sauer - Littel";"The Apollotech B340 is an affordable wireless mouse with reliable connectivity, 12 months battery life and modern design";"2024-06-30";"2024-02-08";"Concluido"
"143";"Gleason - Stamm";"New ABC 13 9370, 13.3, 5th Gen CoreA5-8250U, 8GB RAM, 256GB SSD, power UHD Graphics, OS 10 Home, OS Office A & J 2016";"2024-08-08";"2024-03-27";"Pendente"
"144";"Gulgowski LLC";"Carbonite web goalkeeper gloves are ergonomically designed to give easy fit";"2024-05-08";"2024-08-16";"Em andamento"
"145";"Nitzsche - Russel";"The automobile layout consists of a front-engine design, with transaxle-type transmissions mounted at the rear of the engine and four wheel drive";"2024-02-20";"2024-06-30";"Pendente"
"146";"Hickle - Spencer";"The Nagasaki Lander is the trademarked name of several series of Nagasaki sport bikes, that started with the 1984 ABC800J";"2024-02-13";"2024-08-02";"Pendente"
"147";"Kuhlman - Lang";"The Apollotech B340 is an affordable wireless mouse with reliable connectivity, 12 months battery life and modern design";"2024-02-26";"2024-02-03";"Concluido"
"148";"Kohler LLC";"New ABC 13 9370, 13.3, 5th Gen CoreA5-8250U, 8GB RAM, 256GB SSD, power UHD Graphics, OS 10 Home, OS Office A & J 2016";"2024-08-10";"2024-06-12";"Em andamento"
"149";"Hessel LLC";"The Apollotech B340 is an affordable wireless mouse with reliable connectivity, 12 months battery life and modern design";"2024-03-17";"2024-02-14";"Pendente"
"150";"Larkin, Morissette and Kreiger";"Ergonomic executive chair upholstered in bonded black leather and PVC padded seat and back for all-day comfort and support";"2024-01-28";"2024-02-10";"Pendente"
"151";"Crooks, Kemmer and Marvin";"Andy shoes are designed to keeping in mind durability as well as trends, the most stylish range of shoes & sandals";"2024-04-01";"2024-06-03";"Concluido"
"152";"Grady, Block and Oberbrunner";"The Nagasaki Lander is the trademarked name of several series of Nagasaki sport bikes, that started with the 1984 ABC800J";"2024-01-25";"2024-03-16";"Concluido"
"153";"Prohaska - Casper";"Ergonomic executive chair upholstered in bonded black leather and PVC padded seat and back for all-day comfort and support";"2024-01-21";"2024-05-05";"Concluido"
"154";"Goldner Group";"The Nagasaki Lander is the trademarked name of several series of Nagasaki sport bikes, that started with the 1984 ABC800J";"2024-04-24";"2024-03-10";"Em andamento"
"155";"Roberts - Streich";"The Nagasaki Lander is the trademarked name of several series of Nagasaki sport bikes, that started with the 1984 ABC800J";"2024-04-07";"2024-04-11";"Em andamento"
"156";"O'Connell - Hand";"The slim & simple Maple Gaming Keyboard from Dev Byte comes with a sleek body and 7- Color RGB LED Back-lighting for smart functionality";"2024-06-11";"2024-03-26";"Pendente"
"157";"Pacocha, Schumm and Torp";"The Football Is Good For Training And Recreational Purposes";"2024-08-01";"2024-02-14";"Concluido"
"158";"Wilderman, Lowe and Wolf";"Ergonomic executive chair upholstered in bonded black leather and PVC padded seat and back for all-day comfort and support";"2024-08-04";"2024-08-26";"Pendente"
"159";"Gottlieb - Lesch";"New ABC 13 9370, 13.3, 5th Gen CoreA5-8250U, 8GB RAM, 256GB SSD, power UHD Graphics, OS 10 Home, OS Office A & J 2016";"2024-01-23";"2024-01-22";"Concluido"
"160";"Swaniawski, Cassin and Wyman";"The slim & simple Maple Gaming Keyboard from Dev Byte comes with a sleek body and 7- Color RGB LED Back-lighting for smart functionality";"2024-07-28";"2024-08-19";"Em andamento"
"161";"Rolfson, Mante and Jast";"The Nagasaki Lander is the trademarked name of several series of Nagasaki sport bikes, that started with the 1984 ABC800J";"2024-01-11";"2024-04-06";"Em andamento"
"162";"Herman - Hegmann";"The Football Is Good For Training And Recreational Purposes";"2024-01-25";"2024-01-16";"Concluido"
"163";"Wintheiser, Rowe and Tromp";"Ergonomic executive chair upholstered in bonded black leather and PVC padded seat and back for all-day comfort and support";"2023-12-31";"2024-05-06";"Em andamento"
"164";"Stoltenberg, Balistreri and Weissnat";"Carbonite web goalkeeper gloves are ergonomically designed to give easy fit";"2024-05-15";"2024-07-09";"Concluido"
"165";"Barton and Sons";"New range of formal shirts are designed keeping you in mind. With fits and styling that will make you stand apart";"2024-02-27";"2024-04-10";"Em andamento"
"166";"Beatty - Balistreri";"The automobile layout consists of a front-engine design, with transaxle-type transmissions mounted at the rear of the engine and four wheel drive";"2024-09-06";"2024-08-13";"Pendente"
